Notes,Score,Links or Evidence,
13.5: Do you list your project's publications on your website or link to a resource where these are available?,N,No evidence for this.,
13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,N,No evidence for this.,
13.7: Can users subscribe to notifications to changes to your source code repository?,Y,It is possible to star this repo to get notifications,
"13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/CODE_OF_CONDUCT.md,
"14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/Contributing.md,
14.2: Do you have a contributions policy?,Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/Contributing.md,
14.3: Is your contributions' policy publicly available?,Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/Contributing.md,
14.4: Do contributors keep the copyright/IP of their contributions?,N,https://github.com/Pratyush1184/application-tracking-system/blob/main/LICENSE,
15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?,N,No copyright needed; https://github.com/Pratyush1184/application-tracking-system/blob/main/LICENSE,
15.2: Does each of your source code files include a copyright statement?,N,No copyright needed; https://github.com/Pratyush1184/application-tracking-system/blob/main/LICENSE,
15.3: Does your website and documentation clearly state the licence of your software?,Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/LICENSE,
15.4: Is your software released under an open source licence?,Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/LICENSE,
15.5: Is your software released under an OSI-approved open-source licence?,Y,MIT Liscense used; https://github.com/Pratyush1184/application-tracking-system/blob/main/LICENSE,
15.6: Does each of your source code files include a licence header?,N,No header in source code files,
15.7: Do you have a recommended citation for your software?,N,No information for this,
"16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Y,https://github.com/Pratyush1184/application-tracking-system/blob/main/resources/Roadmap%20-%202.PNG,
"16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",N,No evidence of this.,
"16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?",N,No evidence of this.,
